Order_ID;Order_Date;Region;Product_Category;Product_Name;Quantity;Unit_Price;Total_Sales;Customer_Segment
1045;2024-05-24;Sumatera Utara;Peralatan Rumah; Kipas Angin Cosmos ;4;6275000;25100000;Small Business
1046;2024-04-21;Sulawesi Selatan;Elektronik; Smartphone QWE ;1;1215000;1215000;Corporate
1047;2024-05-08;Bali;Fashion; Tas Kulit Prada ;5;4115000;20575000;Corporate
1048;2024-11-04;Sumatera Utara;Makanan & Minuman; Coklat Belgia ;2;5200000;10400000;Small Business
1049;2024-10-14;Sulawesi Selatan;Elektronik; Headphone XYZ ;4;3705000;14820000;Individual
1050;2024-10-21;Sumatera Utara;Elektronik; Headphone XYZ ;2;4520000;9040000;Corporate
1051;2024-03-11;Jawa Barat;Makanan & Minuman; Coklat Belgia ;5;6970000;34850000;Small Business
1052;2024-09-04;Sumatera Utara;Peralatan Rumah; Mesin Cuci Sharp ;1;2935000;2935000;Small Business
1053;2024-06-15;Jawa Timur;Fashion; Tas Kulit Prada ;3;1165000;3495000;Small Business
1054;2024-01-11;Jawa Timur;Peralatan Rumah; Set Panci Maxim ;1;1310000;1310000;Corporate
1055;2024-09-14;Sumatera Utara;Elektronik; Laptop ASUS ;4;8145000;32580000;Individual
1056;2024-09-03;Jawa Barat;Peralatan Rumah; Kipas Angin Cosmos ;2;6350000;12700000;Corporate
1057;2024-02-10;Sulawesi Selatan;Makanan & Minuman;;5;Rp5.285.000;26425000;Individual
1058;2024-11-13;Sumatera Utara;Peralatan Rumah; Mesin Cuci Sharp ;1;9345000;9345000;Small Business
1059;2024-12-27;Bali;Makanan & Minuman; Keripik Singkong ;3;720000;2160000;Individual
1060;2024-01-11;DKI Jakarta;Fashion; Sepatu Sneakers Nike ;1;5140000;5140000;Small Business
1061;2024-02-17;Kalimantan Timur;Elektronik; Smartphone QWE ;2;6190000;12380000;Corporate
1062;2024-08-31;Bali;Makanan & Minuman; Kopi Arabika DEF ;3;8815000;26445000;Individual
1063;2024-11-06;Bali;Elektronik; Smartphone QWE ;4;5920000;23680000;Corporate
1064;2024-06-18;Jawa Barat;Elektronik; Smartphone QWE ;5;4440000;22200000;Individual
1065;2024-08-24;Kalimantan Timur;Makanan & Minuman; Keripik Singkong ;5;4780000;23900000;Individual
1066;2024-11-04;Kalimantan Timur;Peralatan Rumah; Mesin Cuci Sharp ;2;3035000;6070000;Corporate
1067;2024-11-03;Jawa Timur;Elektronik; Smartphone QWE ;4;6705000;26820000;Small Business
1068;2024-04-13;Bali;Makanan & Minuman; Coklat Belgia ;4;2355000;9420000;Corporate
1069;2024-12-15;Bali;Fashion; Gaun Pesta Glam ;2;90000;180000;Individual
1070;2024-07-10;DKI Jakarta;Fashion; Kemeja Formal ZZZ ;5;4345000;21725000;Small Business
1071;2024-08-01;Bali;Fashion; Sepatu Sneakers Nike ;5;1455000;7275000;Corporate
1072;2024-02-10;Bali;Peralatan Rumah; Blender Philips ;1;3790000;3790000;Small Business
1073;2024-10-28;Sumatera Utara;Makanan & Minuman; Keripik Singkong ;2;1600000;3200000;Small Business
1074;2024-07-01;DKI Jakarta;Elektronik; Laptop ASUS ;4;9885000;39540000;Individual
1075;2024-08-13;;Fashion; Gaun Pesta Glam ;2;4085000;8170000;Corporate
1076;2024-11-21;Kalimantan Timur;Fashion; Sepatu Sneakers Nike ;2;6580000;13160000;Individual
1077;2024-04-07;Jawa Barat;Makanan & Minuman; Kopi Arabika DEF ;1;6915000;6915000;Corporate
1078;2024-08-05;Sumatera Utara;Fashion; Jaket Kulit ABC ;4;3650000;14600000;Corporate
1079;2024-06-11;Sumatera Utara;Elektronik; Kamera Canon ;4;345000;1380000;Individual
1080;2024-07-01;Jawa Timur;Makanan & Minuman; Teh Hijau Jepang ;1;50000;50000;Individual
1081;2024-06-29;Bali;Elektronik; Smartphone QWE ;4;1475000;5900000;Small Business
1082;2024-03-29;DKI Jakarta;Elektronik; Tablet Samsung ;4;4560000;18240000;Corporate
1083;2024-12-22;Kalimantan Timur;Elektronik; Headphone XYZ ;2;935000;1870000;Small Business
1084;2024-07-13;Jawa Timur;Makanan & Minuman; Teh Hijau Jepang ;5;4180000;20900000;Corporate
1085;2024-10-27;DKI Jakarta;Fashion; Tas Kulit Prada ;4;6940000;27760000;Corporate
1086;2024-12-26;Kalimantan Timur;Elektronik; Headphone XYZ ;4;5010000;20040000;Small Business
1087;2024-11-13;Sumatera Utara;Peralatan Rumah; Blender Philips ;1;6950000;6950000;Individual
1088;2024-06-04;Jawa Timur;Elektronik; Kamera Canon ;2;Rp555.000;1110000;Small Business
1089;2024-11-06;Jawa Barat;Peralatan Rumah; Blender Philips ;3;6060000;18180000;Corporate
1090;2024-05-24;DKI Jakarta;Fashion; Gaun Pesta Glam ;4;2585000;10340000;Small Business
1091;2024-06-06;Bali;Elektronik; Headphone XYZ ;4;5150000;20600000;Individual
1092;2024-12-22;Sulawesi Selatan;Fashion; Kemeja Formal ZZZ ;2;4620000;9240000;Corporate
1093;2024-01-15;Sumatera Utara;Fashion; Jaket Kulit ABC ;4;2440000;9760000;Corporate
1094;2024-06-16;Bali;Fashion; Kemeja Formal ZZZ ;2;2830000;5660000;Corporate
1095;2024-12-11;Bali;Elektronik; Smartphone QWE ;5;2735000;13675000;Individual
1096;2024-01-29;DKI Jakarta;Fashion; Jaket Kulit ABC ;4;1225000;4900000;Small Business
1097;2024-10-25;DKI Jakarta;Elektronik; Headphone XYZ ;1;9425000;9425000;Corporate
1098;2024-11-25;Kalimantan Timur;Makanan & Minuman; Teh Hijau Jepang ;2;3070000;6140000;Individual
1099;2024-03-18;Kalimantan Timur;Makanan & Minuman; Coklat Belgia ;5;1175000;5875000;Corporate
1100;2024-11-19;Sulawesi Selatan;Peralatan Rumah; Kipas Angin Cosmos ;1;4715000;4715000;Individual
1101;2024-02-26;Sulawesi Selatan;Fashion; Sepatu Sneakers Nike ;5;9205000;46025000;Corporate
1102;2024-09-17;Bali;Fashion; Sepatu Sneakers Nike ;3;5690000;17070000;Individual
1103;2024-03-20;Kalimantan Timur;Peralatan Rumah; Mesin Cuci Sharp ;3;8385000;25155000;Small Business
1104;2024-04-29;Jawa Barat;Peralatan Rumah; Blender Philips ;2;4290000;8580000;Corporate
1105;2024-12-12;Kalimantan Timur;Elektronik; Laptop ASUS ;4;4425000;17700000;Individual
1106;2024-11-20;Sumatera Utara;Peralatan Rumah; Vacuum Cleaner LG ;4;4800000;19200000;Small Business
1107;2024-01-07;Jawa Timur;Fashion;;4;5630000;22520000;Corporate
1108;2024-12-23;Kalimantan Timur;Fashion; Kemeja Formal ZZZ ;2;7265000;14530000;Corporate
1109;2024-11-12;Kalimantan Timur;Fashion; Kemeja Formal ZZZ ;4;4855000;19420000;Individual
1110;2024-01-01;DKI Jakarta;Makanan & Minuman; Coklat Belgia ;1;140000;140000;Corporate
1111;2024-11-17;Kalimantan Timur;Fashion; Tas Kulit Prada ;4;9855000;39420000;Corporate
1112;2024-09-07;Jawa Timur;Fashion; Tas Kulit Prada ;4;3400000;13600000;Individual
1113;2024-02-20;Bali;Peralatan Rumah; Vacuum Cleaner LG ;3;4225000;12675000;
1114;2024-12-18;Bali;Fashion; Kemeja Formal ZZZ ;2;5630000;11260000;Individual
1115;2024-05-27;Kalimantan Timur;Fashion; Tas Kulit Prada ;3;7775000;23325000;Corporate
1116;2024-10-09;Sulawesi Selatan;Peralatan Rumah; Mesin Cuci Sharp ;2;9050000;18100000;Small Business
1117;2024-12-10;Kalimantan Timur;Fashion; Gaun Pesta Glam ;1;5550000;5550000;Individual
1118;2024-12-12;Sumatera Utara;Makanan & Minuman; Coklat Belgia ;2;8740000;17480000;Small Business
1119;2024-09-29;Sulawesi Selatan;Fashion; Gaun Pesta Glam ;5;5560000;27800000;Small Business
1120;2024-11-07;Kalimantan Timur;Fashion; Jaket Kulit ABC ;2;6430000;12860000;Individual
1121;2024-11-01;DKI Jakarta;Elektronik; Kamera Canon ;3;7445000;22335000;Corporate
1122;2024-06-25;Jawa Timur;Fashion; Jaket Kulit ABC ;2;5815000;11630000;Small Business
1123;2024-09-16;DKI Jakarta;Fashion; Tas Kulit Prada ;3;305000;915000;Corporate
1124;2024-05-24;Jawa Timur;Peralatan Rumah; Blender Philips ;5;1845000;9225000;Individual
1125;2024-02-16;Jawa Timur;Elektronik;;5;4715000;23575000;Individual
1126;2024-11-21;Bali;Peralatan Rumah; Kipas Angin Cosmos ;2;1100000;2200000;
1127;2024-01-30;Jawa Barat;Fashion; Gaun Pesta Glam ;3;1250000;3750000;Individual
1128;2024-02-14;Sulawesi Selatan;Fashion; Jaket Kulit ABC ;1;380000;380000;Corporate
1129;2024-05-08;Jawa Timur;Elektronik; Smartphone QWE ;2;1215000;2430000;Small Business
1130;2024-07-04;Jawa Timur;Peralatan Rumah; Kipas Angin Cosmos ;4;Rp9.895.000;39580000;Corporate
1131;2024-06-22;Jawa Barat;Peralatan Rumah; Set Panci Maxim ;5;1795000;8975000;Corporate
1132;2024-03-06;Sumatera Utara;Makanan & Minuman; Teh Hijau Jepang ;3;7110000;21330000;Individual
1133;2024-07-26;;Fashion; Jaket Kulit ABC ;4;8845000;35380000;Individual
1134;2024-02-27;Sumatera Utara;Peralatan Rumah; Vacuum Cleaner LG ;4;5545000;22180000;Small Business
1135;2024-11-25;Kalimantan Timur;Peralatan Rumah; Mesin Cuci Sharp ;3;2750000;8250000;Small Business
1136;2024-02-01;Bali;Fashion; Tas Kulit Prada ;1;7470000;7470000;Corporate
1137;2024-08-05;DKI Jakarta;Fashion; Jaket Kulit ABC ;2;9050000;18100000;Individual
1138;2024-06-05;Bali;Elektronik; Kamera Canon ;1;3105000;3105000;Corporate
1139;2024-12-16;Jawa Barat;Makanan & Minuman; Keripik Singkong ;1;5505000;5505000;Corporate
1140;2024-08-29;Jawa Timur;Makanan & Minuman; Teh Hijau Jepang ;4;3100000;12400000;Small Business
1141;2024-09-22;Jawa Timur;Fashion; Sepatu Sneakers Nike ;3;8850000;26550000;Small Business
1142;2024-02-28;Bali;Elektronik; Laptop ASUS ;5;7065000;35325000;Individual
1143;2024-05-30;Sulawesi Selatan;Peralatan Rumah; Mesin Cuci Sharp ;2;3380000;6760000;Corporate
1144;2024-03-27;Sulawesi Selatan;Elektronik; Headphone XYZ ;5;960000;4800000;Small Business
1145;2024-06-18;DKI Jakarta;Elektronik; Kamera Canon ;5;2435000;12175000;Small Business
1146;2024-06-04;Sumatera Utara;Elektronik; Smartphone QWE ;4;5890000;23560000;Individual
1147;2024-01-30;Kalimantan Timur;Peralatan Rumah; Kipas Angin Cosmos ;4;775000;3100000;Individual
1148;2024-09-10;Jawa Timur;Fashion; Jaket Kulit ABC ;4;6890000;27560000;
1149;2024-06-30;Kalimantan Timur;Peralatan Rumah; Kipas Angin Cosmos ;1;7630000;7630000;Individual
1150;2024-09-30;DKI Jakarta;Peralatan Rumah; Kipas Angin Cosmos ;4;8130000;32520000;Corporate
1151;2024-05-04;DKI Jakarta;Makanan & Minuman; Coklat Belgia ;5;5135000;25675000;Small Business
1152;2024-04-13;Jawa Barat;Makanan & Minuman; Keripik Singkong ;2;230000;460000;Small Business
1153;2024-12-19;Sumatera Utara;Elektronik; Laptop ASUS ;3;2940000;8820000;Small Business
1154;2024-09-29;Sulawesi Selatan;Peralatan Rumah; Blender Philips ;3;6385000;19155000;Corporate
1155;2024-02-21;DKI Jakarta;Peralatan Rumah; Vacuum Cleaner LG ;3;8600000;25800000;Corporate
1156;2024-08-27;Sumatera Utara;Peralatan Rumah; Mesin Cuci Sharp ;4;3320000;13280000;Corporate
1157;2024-01-25;Jawa Barat;Makanan & Minuman; Kopi Arabika DEF ;4;50000;200000;Corporate
1158;2024-01-10;Jawa Barat;Makanan & Minuman; Kopi Arabika DEF ;5;3735000;18675000;Corporate
1159;2024-03-15;Sulawesi Selatan;Makanan & Minuman; Coklat Belgia ;1;8395000;8395000;Individual
1160;2024-01-01;Jawa Timur;Peralatan Rumah; Blender Philips ;2;4865000;9730000;Individual
1161;2024-11-30;Jawa Barat;Makanan & Minuman; Teh Hijau Jepang ;5;1840000;9200000;Small Business
1162;2024-06-03;Sulawesi Selatan;Fashion; Sepatu Sneakers Nike ;5;7410000;37050000;Corporate
1163;2024-03-10;DKI Jakarta;Elektronik; Laptop ASUS ;1;5395000;5395000;Individual
1164;2024-05-04;Sulawesi Selatan;Makanan & Minuman; Kopi Arabika DEF ;5;1185000;5925000;Individual
1165;2024-01-20;Kalimantan Timur;Elektronik; Headphone XYZ ;4;5800000;23200000;Individual
1166;2024-10-27;Sumatera Utara;Makanan & Minuman; Coklat Belgia ;1;9450000;9450000;Corporate
1167;2024-12-23;Jawa Barat;Elektronik; Tablet Samsung ;5;3380000;16900000;Corporate
1168;2024-02-26;Jawa Barat;Elektronik; Kamera Canon ;4;1170000;4680000;Small Business
1169;2024-05-05;Sulawesi Selatan;Elektronik; Tablet Samsung ;1;545000;545000;Corporate
1170;2024-08-16;Jawa Barat;Elektronik; Laptop ASUS ;4;725000;2900000;Corporate
1171;2024-03-09;Bali;Peralatan Rumah; Set Panci Maxim ;4;4470000;17880000;Small Business
1172;2024-08-31;Bali;Makanan & Minuman; Teh Hijau Jepang ;1;7390000;7390000;Individual
1173;2024-11-24;Sumatera Utara;Peralatan Rumah; Blender Philips ;5;4565000;22825000;Corporate
1174;2024-05-10;Sumatera Utara;Elektronik; Tablet Samsung ;5;4580000;22900000;Individual
1175;2024-01-17;Jawa Timur;Elektronik; Kamera Canon ;1;3605000;3605000;Corporate
1176;2024-10-10;Bali;Fashion; Sepatu Sneakers Nike ;1;3410000;3410000;Individual
1177;2024-02-22;Jawa Barat;Fashion; Tas Kulit Prada ;4;1930000;7720000;Corporate
1178;2024-12-19;Sulawesi Selatan;Elektronik; Smartphone QWE ;2;3205000;6410000;Individual
1179;2024-03-23;DKI Jakarta;Makanan & Minuman; Teh Hijau Jepang ;4;4370000;17480000;Individual
1180;2024-02-15;DKI Jakarta;Fashion; Sepatu Sneakers Nike ;3;1950000;5850000;Small Business
1181;2024-01-01;;Peralatan Rumah; Blender Philips ;3;7015000;21045000;Small Business
1182;2024-10-30;Sumatera Utara;Elektronik; Smartphone QWE ;3;9205000;27615000;Individual
1183;2024-10-25;Kalimantan Timur;Peralatan Rumah; Mesin Cuci Sharp ;3;8755000;26265000;Individual
1184;2024-09-05;Kalimantan Timur;Fashion; Jaket Kulit ABC ;4;5930000;23720000;Small Business
1185;2024-12-19;Sulawesi Selatan;Elektronik; Laptop ASUS ;3;5945000;17835000;Small Business
1186;2024-10-29;Sumatera Utara;Makanan & Minuman; Teh Hijau Jepang ;4;4525000;18100000;Corporate
1187;2024-01-10;Jawa Barat;Makanan & Minuman; Air Mineral Premium ;1;2520000;2520000;Small Business
1188;2024-12-13;DKI Jakarta;Fashion; Sepatu Sneakers Nike ;2;4385000;8770000;Small Business
1189;2024-10-16;Jawa Timur;Elektronik; Tablet Samsung ;4;6045000;24180000;Corporate
1190;2024-11-19;Sumatera Utara;Makanan & Minuman; Coklat Belgia ;2;3900000;7800000;Corporate
1191;2024-05-20;DKI Jakarta;Elektronik; Kamera Canon ;5;2410000;12050000;Small Business
1192;2024-03-02;Jawa Timur;Fashion; Tas Kulit Prada ;3;6805000;20415000;Small Business
1193;2024-03-08;;Elektronik; Tablet Samsung ;3;3095000;9285000;
1194;2024-01-22;Sumatera Utara;Peralatan Rumah; Vacuum Cleaner LG ;3;9280000;27840000;Small Business
1195;2024-06-30;Sulawesi Selatan;Fashion; Tas Kulit Prada ;3;4610000;13830000;Corporate
1196;2024-05-21;DKI Jakarta;Elektronik; Laptop ASUS ;4;9005000;36020000;Individual
1197;2024-03-30;Bali;Elektronik; Kamera Canon ;5;6670000;33350000;Small Business
1198;2024-08-16;DKI Jakarta;Fashion; Jaket Kulit ABC ;1;4455000;4455000;Corporate
1199;2024-03-22;DKI Jakarta;Peralatan Rumah; Kipas Angin Cosmos ;5;8400000;42000000;Small Business
1200;2024-09-15;Bali;Fashion; Tas Kulit Prada ;5;130000;650000;Corporate
1059;2024-12-27;Bali;Makanan & Minuman; Keripik Singkong ;3;720000;2160000;Individual
1041;2024-03-09;Kalimantan Timur;Elektronik; Headphone XYZ ;1;Rp4.275.000;4275000;Small Business
1035;2024-08-30;Bali;Elektronik; Headphone XYZ ;2;6050000;12100000;Corporate
1103;2024-03-20;Kalimantan Timur;Peralatan Rumah; Mesin Cuci Sharp ;3;8385000;25155000;Small Business
1185;2024-12-19;Sulawesi Selatan;Elektronik; Laptop ASUS ;3;5945000;17835000;Small Business
